"roi_name","site","lat","lon","roitype","active","show_link","show_data_link","sequence_number","description","first_date","last_date","site_years","missing_data_pct","roi_page","roi_stats_file","one_day_summary","three_day_summary","data_release"
"archboldavirx_AG_1000","archboldavirx",27.166627,-81.219828,"AG",TRUE,TRUE,TRUE,1000,"entire AG land in FOV","2016-05-16","2022-12-01","6.2","4.0","https://phenocam.nau.edu/webcam/roi/archboldavirx/AG_1000/","https://phenocam.nau.edu/data/archive/archboldavirx/ROI/archboldavirx_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/archboldavirx/ROI/archboldavirx_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/archboldavirx/ROI/archboldavirx_AG_1000_3day.csv",NA
"archboldbahia_AG_1000","archboldbahia",27.1656,-81.216112,"AG",TRUE,TRUE,TRUE,1000,"entire land in FOV","2017-03-21","2022-12-01","5.4","4.0","https://phenocam.nau.edu/webcam/roi/archboldbahia/AG_1000/","https://phenocam.nau.edu/data/archive/archboldbahia/ROI/archboldbahia_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/archboldbahia/ROI/archboldbahia_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/archboldbahia/ROI/archboldbahia_AG_1000_3day.csv",NA
"archboldpnot_AG_1000","archboldpnot",27.187948,-81.200345,"AG",TRUE,TRUE,TRUE,1000,"entire land in FOV","2016-05-13","2022-12-01","6.1","7.0","https://phenocam.nau.edu/webcam/roi/archboldpnot/AG_1000/","https://phenocam.nau.edu/data/archive/archboldpnot/ROI/archboldpnot_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/archboldpnot/ROI/archboldpnot_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/archboldpnot/ROI/archboldpnot_AG_1000_3day.csv",NA
"archboldpnotx_AG_1000","archboldpnotx",27.180677,-81.20068,"AG",TRUE,TRUE,TRUE,1000,"entire land in FOV","2016-05-16","2022-12-01","5.8","12.0","https://phenocam.nau.edu/webcam/roi/archboldpnotx/AG_1000/","https://phenocam.nau.edu/data/archive/archboldpnotx/ROI/archboldpnotx_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/archboldpnotx/ROI/archboldpnotx_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/archboldpnotx/ROI/archboldpnotx_AG_1000_3day.csv",NA
"archboldwet_AG_1000","archboldwet",27.19,-81.21,"AG",TRUE,TRUE,TRUE,1000,"wetland AG site  (the site has too many FOV shifts, the time series was generated from small portion of FOV that is common across images)","2016-10-31","2022-11-22","3.7","39.0","https://phenocam.nau.edu/webcam/roi/archboldwet/AG_1000/","https://phenocam.nau.edu/data/archive/archboldwet/ROI/archboldwet_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/archboldwet/ROI/archboldwet_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/archboldwet/ROI/archboldwet_AG_1000_3day.csv",NA
"arkansascornsoy_AG_1000","arkansascornsoy",34.416,-91.6723,"AG",TRUE,TRUE,TRUE,1000,"crops in farther field to avoid edge effects","2021-05-26","2022-12-01","1.5","4.0","https://phenocam.nau.edu/webcam/roi/arkansascornsoy/AG_1000/","https://phenocam.nau.edu/data/archive/arkansascornsoy/ROI/arkansascornsoy_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arkansascornsoy/ROI/arkansascornsoy_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arkansascornsoy/ROI/arkansascornsoy_AG_1000_3day.csv",NA
"arsbrooks10_AG_1000","arsbrooks10",41.9749,-93.6905,"AG",TRUE,TRUE,TRUE,1000,"FOV is AG cover type","2019-07-10","2022-12-01","3.3","1.0","https://phenocam.nau.edu/webcam/roi/arsbrooks10/AG_1000/","https://phenocam.nau.edu/data/archive/arsbrooks10/ROI/arsbrooks10_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsbrooks10/ROI/arsbrooks10_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsbrooks10/ROI/arsbrooks10_AG_1000_3day.csv",NA
"arsbrooks11_AG_1000","arsbrooks11",41.9744,-93.6937,"AG",TRUE,TRUE,TRUE,1000,"AG land cover type.","2019-07-10","2022-12-01","3.0","12.0","https://phenocam.nau.edu/webcam/roi/arsbrooks11/AG_1000/","https://phenocam.nau.edu/data/archive/arsbrooks11/ROI/arsbrooks11_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsbrooks11/ROI/arsbrooks11_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsbrooks11/ROI/arsbrooks11_AG_1000_3day.csv",NA
"arscolesnorth_AG_1000","arscolesnorth",42.4884,-93.5225,"AG",TRUE,TRUE,TRUE,1000,"AG field bean/corn rotation.","2018-08-21","2022-12-01","3.5","19.0","https://phenocam.nau.edu/webcam/roi/arscolesnorth/AG_1000/","https://phenocam.nau.edu/data/archive/arscolesnorth/ROI/arscolesnorth_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arscolesnorth/ROI/arscolesnorth_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arscolesnorth/ROI/arscolesnorth_AG_1000_3day.csv",NA
"arscolessouth_AG_1000","arscolessouth",42.4816,-93.5235,"AG",TRUE,TRUE,TRUE,1000,"AG land cover type.","2018-08-18","2022-12-01","3.7","14.0","https://phenocam.nau.edu/webcam/roi/arscolessouth/AG_1000/","https://phenocam.nau.edu/data/archive/arscolessouth/ROI/arscolessouth_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arscolessouth/ROI/arscolessouth_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arscolessouth/ROI/arscolessouth_AG_1000_3day.csv",NA
"arsgacp1_AG_1000","arsgacp1",31.5109,-83.6179,"AG",TRUE,TRUE,TRUE,1000,"canopy level AG, not the entire land is planted all the time","2016-05-10","2022-12-01","6.6","0.0","https://phenocam.nau.edu/webcam/roi/arsgacp1/AG_1000/","https://phenocam.nau.edu/data/archive/arsgacp1/ROI/arsgacp1_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgacp1/ROI/arsgacp1_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgacp1/ROI/arsgacp1_AG_1000_3day.csv",NA
